bedrooms,bathrooms,size_sqft,age,location,price
1,4,2322,12,Countryside,588166.57
2,2,693,42,City Center,299394.24
3,1,2786,22,Industrial,685487.07
6,3,726,7,Suburb,509683.18
3,1,1388,38,Countryside,378545.08
3,4,4689,7,Countryside,1282166.39
2,3,863,45,Countryside,256686.44
5,2,3483,27,Downtown,1140013.52
3,3,1520,46,Suburb,495705.13
6,4,3172,25,Industrial,956157.73
2,2,3944,42,Countryside,906859.01
2,3,3826,35,Downtown,944153.58
2,4,3139,29,Countryside,785111.51
2,4,1890,42,Downtown,588405.73
6,3,1265,48,City Center,663152.4
2,2,1707,1,Downtown,550306.84
4,1,4230,26,Industrial,1032391.46
6,4,4549,25,City Center,1266277.29
6,1,1373,49,Countryside,491797.62
6,4,911,35,City Center,671441.23
1,4,1592,29,Industrial,427545.59
5,3,4125,39,Industrial,1171686.01
4,4,1803,47,Countryside,594107.37
2,3,4770,31,Industrial,1021307.48
4,1,2840,15,Suburb,769383.34
5,1,1633,9,City Center,647588.14
2,2,1026,26,Countryside,305504.94
4,4,1010,13,Countryside,481613.47
5,1,3616,30,Downtown,1130130.88
3,4,3932,34,Industrial,1031641.68
5,2,4499,14,Suburb,1193287.71
1,4,3253,42,Industrial,781581.96
6,2,4328,8,Beachside,1322564.96
4,1,1187,41,Countryside,367054.69
4,2,911,16,Countryside,394105.07
4,3,3264,48,Countryside,822624.66
4,3,1170,30,Downtown,586840.91
1,3,2336,41,Downtown,660893.5
6,1,754,15,City Center,564142.92
5,2,2454,8,Countryside,805194.91
5,2,4309,44,Suburb,1185894.78
2,1,1841,19,Downtown,558350.6
3,4,3749,45,City Center,935608.24
6,2,1334,44,Suburb,621490.06
5,1,836,22,Beachside,506834.39
3,1,4644,41,Suburb,963270.73
4,4,1364,27,Suburb,587819.07
4,2,4067,11,Industrial,1041409.84
6,3,4908,49,Countryside,1279050.78
6,3,3140,15,Downtown,1027947.47
4,2,4306,36,Beachside,1206461.92
3,1,4549,20,City Center,1126986.78
3,3,3288,17,Beachside,1011214.14
3,1,4732,12,Downtown,1126925.51
4,4,2468,44,Countryside,759123.6
4,4,641,5,Suburb,435047.89
6,2,3008,42,Beachside,972440.76
5,3,3985,47,Beachside,1127023.61
6,4,2719,19,Suburb,903816.6
6,2,3084,7,Industrial,953087.61
6,2,2069,13,Industrial,731979.4
6,3,1323,12,Suburb,620813.09
2,3,615,45,Beachside,319696.88
1,1,2893,44,City Center,680870.49
4,1,600,36,Suburb,314065.89
4,3,2010,3,Suburb,769910.5
4,1,1035,25,Countryside,356321.0
6,1,1742,9,Beachside,833607.24
1,2,1470,35,Countryside,348761.5
5,2,4780,24,Countryside,1319675.07
3,4,3001,36,Beachside,835616.6
6,1,2202,40,City Center,743665.97
1,2,2464,11,Beachside,627973.4
1,4,4190,44,Beachside,1035729.76
1,2,2860,45,Suburb,660259.12
4,1,2412,16,Industrial,680403.07
2,4,1440,34,City Center,542560.7
3,2,1084,3,City Center,521112.21
5,3,4097,7,Countryside,1181877.07
6,4,2730,32,Beachside,1016736.71
1,1,4039,47,Suburb,854667.89
1,1,2375,43,Beachside,600789.22
1,3,829,48,City Center,302007.63
6,4,2778,11,Beachside,1045519.16
4,1,4350,22,Countryside,1021761.39
6,1,1817,21,Countryside,677151.17
3,4,800,29,Downtown,449194.45
3,1,3811,32,Downtown,1004918.55
5,4,3885,3,City Center,1216971.55
5,4,4121,48,Downtown,1130923.54
5,2,2859,28,Industrial,817293.35
1,2,1797,19,Beachside,488289.3
4,1,2340,7,Countryside,738076.73
6,2,4582,45,Suburb,1231080.56
3,4,4452,30,City Center,1175154.94
2,4,2061,38,Beachside,708459.35
2,1,2763,49,Countryside,579913.85
5,3,521,18,Industrial,381197.28
5,4,1717,28,Beachside,768984.19
3,4,4230,20,City Center,1267155.09
2,4,2413,49,Countryside,562594.41
6,4,3623,24,Industrial,1152259.95
6,2,4557,2,City Center,1339013.3
5,3,1322,28,Downtown,645734.2
4,1,1680,26,Industrial,554653.62
1,4,2671,21,Beachside,802480.57
6,1,3191,43,Beachside,979613.09
3,4,4932,2,Beachside,1236580.13
6,3,2363,47,Downtown,860583.3
1,1,4134,10,Industrial,836834.91
1,1,3157,50,Downtown,686793.73
3,4,1692,15,Beachside,673835.26
6,2,1892,11,Downtown,819460.29
4,2,4576,37,City Center,1125976.92
6,3,4264,16,Industrial,1081173.13
4,3,4977,10,Downtown,1334662.38
3,3,3975,44,Suburb,980462.12
3,2,3651,30,Downtown,923944.6
5,3,2923,44,Suburb,794595.23
6,4,2748,0,Beachside,1147695.22
6,1,4569,18,City Center,1314354.25
3,2,2057,39,Suburb,603623.78
6,2,1295,40,Industrial,489349.75
4,1,3488,46,City Center,852479.57
3,3,3903,11,City Center,995080.57
5,3,4848,32,Suburb,1366306.74
3,4,2917,47,Suburb,851753.66
4,1,1653,48,City Center,598834.91
6,4,3496,5,Countryside,994596.84
5,1,4225,23,Industrial,1123813.38
3,4,3543,6,Industrial,899047.46
1,3,2313,41,Downtown,637919.88
