title,district,sector,property_type,bedrooms,bathrooms,size_sqft,land_size,year_built,road_access,furnished,parking,modern_finish,proximity_to_city,price_rwf,sector_official,geo_source,cbd_distance_km,nearest_school_km,nearest_hospital_km,nearest_market_km,nearest_bank_km,accessibility_score,sector_density_score,neighborhood_score,investment_score
Townhouse in Gisozi,Gasabo,Gisozi,townhouse,2,5,6987,973,2009,dirt,0,3,0,15,83589733.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Villa in Gacuriro,Gasabo,Gacuriro,villa,1,3,972,2418,2004,paved,0,0,1,29,100585999.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Villa in Kibagabaga,Gasabo,Kibagabaga,villa,1,5,2749,1290,2021,paved,0,4,0,8,175566729.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Apartment in Gitega,Nyarugenge,Gitega,apartment,4,2,1572,547,2017,paved,0,0,0,21,48862077.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Villa in Gisozi,Gasabo,Gisozi,villa,6,3,7358,597,2005,paved,0,3,1,15,153696868.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
House in Kimihurura,Gasabo,Kimihurura,house,4,5,1602,357,2024,dirt,0,1,1,16,293891751.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Apartment in Gisozi,Gasabo,Gisozi,apartment,1,2,3904,158,2014,dirt,0,2,1,24,69856602.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Villa in Kanombe,Kicukiro,Kanombe,villa,6,4,2068,927,2008,dirt,0,4,1,11,93917139.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
House in Gahanga,Kicukiro,Gahanga,house,4,5,7785,2325,2000,dirt,1,1,1,3,118546555.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
House in Gacuriro,Gasabo,Gacuriro,house,4,1,5466,1158,1992,paved,0,4,1,9,159978766.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Apartment in Nyarugenge Town,Nyarugenge,Nyarugenge Town,apartment,3,2,2975,1771,1998,paved,0,0,1,20,100199397.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Villa in Kimihurura,Gasabo,Kimihurura,villa,1,5,2546,2222,2006,dirt,0,1,1,6,295915074.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Apartment in Kanombe,Kicukiro,Kanombe,apartment,6,3,5810,2316,1990,dirt,1,1,1,29,72269567.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Villa in Kanombe,Kicukiro,Kanombe,villa,2,3,3108,1012,2011,paved,0,4,1,29,115785872.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
House in Nyarutarama,Gasabo,Nyarutarama,house,1,4,7594,1283,1992,paved,1,2,1,15,614999224.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Gisozi,Gasabo,Gisozi,house,5,1,1716,458,1999,dirt,0,1,1,2,55173393.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
House in Gitega,Nyarugenge,Gitega,house,7,1,3731,1010,2005,paved,0,3,0,24,69243674.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
House in Gacuriro,Gasabo,Gacuriro,house,7,2,7352,875,2016,paved,0,3,0,28,268161924.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
House in Gacuriro,Gasabo,Gacuriro,house,3,2,7250,592,2014,dirt,1,3,1,27,232272436.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Apartment in Gacuriro,Gasabo,Gacuriro,apartment,2,1,6206,941,2015,paved,1,2,1,17,202630302.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Apartment in Kanombe,Kicukiro,Kanombe,apartment,3,1,1744,1219,2001,paved,0,2,0,11,56159665.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
House in Kanombe,Kicukiro,Kanombe,house,1,4,5523,928,2006,dirt,1,4,0,24,95548268.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
House in Gacuriro,Gasabo,Gacuriro,house,3,4,1373,1502,2010,dirt,1,2,0,11,118448514.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Villa in Remera,Gasabo,Remera,villa,5,2,2371,1872,2014,paved,1,4,0,10,206520211.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Gisozi,Gasabo,Gisozi,townhouse,7,5,5769,1469,2019,paved,1,3,0,26,146491022.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Villa in Nyamirambo,Nyarugenge,Nyamirambo,villa,1,3,5022,1522,1995,paved,1,1,1,2,89728560.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Townhouse in Kicukiro Center,Kicukiro,Kicukiro Center,townhouse,5,1,4530,1847,2002,paved,1,0,0,28,110099770.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Townhouse in Kimihurura,Gasabo,Kimihurura,townhouse,7,4,2592,870,2023,paved,1,0,1,26,403519396.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Townhouse in Kanombe,Kicukiro,Kanombe,townhouse,5,5,3399,1962,2022,dirt,0,1,0,16,92866295.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Villa in Gitega,Nyarugenge,Gitega,villa,2,3,7073,2285,2021,paved,1,2,1,11,156000000.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Villa in Kanombe,Kicukiro,Kanombe,villa,1,2,2035,1097,2014,dirt,1,3,1,15,87939654.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Townhouse in Gacuriro,Gasabo,Gacuriro,townhouse,7,4,3990,230,2014,paved,1,3,0,27,203922532.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Villa in Nyarugenge Town,Nyarugenge,Nyarugenge Town,villa,6,5,7352,1053,2021,paved,0,3,1,22,260000000.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Townhouse in Nyarugenge Town,Nyarugenge,Nyarugenge Town,townhouse,2,4,1845,2337,1991,paved,0,0,0,5,82123205.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Townhouse in Kacyiru,Gasabo,Kacyiru,townhouse,1,3,3905,1490,2003,paved,0,3,1,27,200955173.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
Apartment in Kimihurura,Gasabo,Kimihurura,apartment,4,1,6936,2359,1993,paved,1,0,0,8,302398337.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
House in Nyarutarama,Gasabo,Nyarutarama,house,5,2,2754,667,2020,paved,1,2,0,6,622447960.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Nyarugenge Town,Nyarugenge,Nyarugenge Town,house,6,1,7171,820,2009,paved,0,4,0,13,185363948.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Apartment in Nyarugenge Town,Nyarugenge,Nyarugenge Town,apartment,2,1,5650,1144,1996,dirt,0,0,0,19,86679302.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Apartment in Kibagabaga,Gasabo,Kibagabaga,apartment,5,4,6219,1667,1994,paved,0,3,1,12,153180293.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Apartment in Kicukiro Center,Kicukiro,Kicukiro Center,apartment,6,2,4367,871,2023,paved,0,3,1,27,150304484.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Townhouse in Remera,Gasabo,Remera,townhouse,3,2,7605,504,2007,paved,0,4,0,11,189384233.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Apartment in Kibagabaga,Gasabo,Kibagabaga,apartment,2,4,2537,1603,2006,paved,0,2,0,17,103256182.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Townhouse in Kimihurura,Gasabo,Kimihurura,townhouse,2,4,4802,2424,2005,paved,0,0,1,8,335918855.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Apartment in Gacuriro,Gasabo,Gacuriro,apartment,3,5,3823,2088,2025,paved,0,2,1,15,192502275.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
House in Remera,Gasabo,Remera,house,2,1,6708,938,2010,dirt,0,1,1,24,163137397.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Nyarugenge Town,Nyarugenge,Nyarugenge Town,villa,5,5,5688,1309,1996,paved,1,2,1,18,190068271.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
House in Nyarutarama,Gasabo,Nyarutarama,house,1,5,3193,667,2021,dirt,0,3,1,11,460869794.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Nyarutarama,Gasabo,Nyarutarama,townhouse,3,4,1734,417,2015,paved,0,0,1,26,404988422.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Remera,Gasabo,Remera,villa,1,2,1770,2435,2016,dirt,1,3,1,19,168049513.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Remera,Gasabo,Remera,villa,5,5,1293,556,2003,paved,1,1,1,3,180237004.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Gisozi,Gasabo,Gisozi,villa,4,5,4649,1342,1992,paved,1,3,1,8,134226324.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
House in Gitega,Nyarugenge,Gitega,house,7,5,6216,960,2017,paved,0,2,0,3,124640842.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Townhouse in Gitega,Nyarugenge,Gitega,townhouse,3,5,6935,2481,2008,paved,0,3,0,17,101132719.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Apartment in Kicukiro Center,Kicukiro,Kicukiro Center,apartment,1,5,1126,1919,2010,paved,1,4,0,1,100455739.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Townhouse in Nyamirambo,Nyarugenge,Nyamirambo,townhouse,7,3,5520,314,2001,paved,0,2,1,19,91278215.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Apartment in Kicukiro Center,Kicukiro,Kicukiro Center,apartment,1,4,3650,1822,2011,paved,0,2,1,16,99525170.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Apartment in Gisozi,Gasabo,Gisozi,apartment,7,5,1100,2012,1995,paved,1,3,0,27,64535762.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Villa in Nyamirambo,Nyarugenge,Nyamirambo,villa,7,5,4584,1842,1993,paved,0,3,0,25,80805104.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
House in Remera,Gasabo,Remera,house,5,2,3159,1944,2021,paved,0,1,0,10,186626302.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Kanombe,Kicukiro,Kanombe,house,4,1,2640,614,2019,paved,1,2,1,9,110628649.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Townhouse in Kicukiro Center,Kicukiro,Kicukiro Center,townhouse,4,2,4541,2407,1999,paved,0,1,0,9,110078152.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Apartment in Gisozi,Gasabo,Gisozi,apartment,3,5,2988,160,2008,dirt,0,3,0,15,62841837.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Townhouse in Kibagabaga,Gasabo,Kibagabaga,townhouse,3,5,7049,2375,2014,dirt,0,1,0,8,171256719.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Townhouse in Gisozi,Gasabo,Gisozi,townhouse,1,3,6900,2087,2014,dirt,0,1,1,2,90849655.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Townhouse in Gahanga,Kicukiro,Gahanga,townhouse,3,1,7961,1953,1996,paved,1,1,1,26,98702914.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
Townhouse in Kibagabaga,Gasabo,Kibagabaga,townhouse,5,4,6123,478,2011,dirt,0,3,0,2,165293523.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
House in Gacuriro,Gasabo,Gacuriro,house,6,3,2663,520,2017,dirt,0,0,1,23,143845514.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Apartment in Nyarutarama,Gasabo,Nyarutarama,apartment,1,3,7322,379,2008,paved,1,4,1,22,691146409.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Kacyiru,Gasabo,Kacyiru,townhouse,2,1,5792,1716,2005,dirt,1,3,0,15,212955058.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
House in Nyarutarama,Gasabo,Nyarutarama,house,7,4,3156,2388,2000,paved,1,4,1,14,648717608.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Kicukiro Center,Kicukiro,Kicukiro Center,house,7,3,2431,1725,2020,paved,0,4,1,23,133006891.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Townhouse in Nyamirambo,Nyarugenge,Nyamirambo,townhouse,4,3,866,2468,1993,dirt,0,1,0,12,32250438.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
House in Gacuriro,Gasabo,Gacuriro,house,5,3,6352,710,1996,paved,0,4,1,5,202594065.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Apartment in Remera,Gasabo,Remera,apartment,3,4,2238,972,1998,paved,0,1,1,27,119583436.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Gitega,Nyarugenge,Gitega,house,3,3,7388,621,2019,paved,0,3,0,26,111667825.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
House in Kimihurura,Gasabo,Kimihurura,house,7,4,914,1233,2024,paved,0,2,0,27,307284069.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Apartment in Kibagabaga,Gasabo,Kibagabaga,apartment,1,2,4662,252,2025,dirt,1,0,0,15,129986312.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
House in Remera,Gasabo,Remera,house,6,4,1755,722,1992,paved,0,0,1,18,110961983.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Kicukiro Center,Kicukiro,Kicukiro Center,house,3,5,4233,782,2016,dirt,0,2,1,12,120278100.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Apartment in Kicukiro Center,Kicukiro,Kicukiro Center,apartment,2,3,1613,1654,2024,paved,1,0,0,27,86061483.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Villa in Nyamirambo,Nyarugenge,Nyamirambo,villa,2,5,974,357,2011,dirt,0,1,1,25,56642908.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Apartment in Gahanga,Kicukiro,Gahanga,apartment,2,2,3491,754,1990,dirt,1,1,1,26,40301154.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
Villa in Nyamirambo,Nyarugenge,Nyamirambo,villa,7,1,1879,210,2012,paved,1,2,1,24,90273653.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
House in Kimihurura,Gasabo,Kimihurura,house,6,1,4701,1986,2013,paved,1,4,1,26,494661073.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Townhouse in Nyamirambo,Nyarugenge,Nyamirambo,townhouse,5,3,4552,277,1993,dirt,0,0,1,30,52305716.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Apartment in Kimihurura,Gasabo,Kimihurura,apartment,3,5,2015,419,1998,paved,0,2,1,20,229739333.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Villa in Kicukiro Center,Kicukiro,Kicukiro Center,villa,5,5,4324,556,1997,paved,0,3,1,15,152582846.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Apartment in Nyarugenge Town,Nyarugenge,Nyarugenge Town,apartment,1,3,4296,1430,2006,dirt,0,3,1,27,83519404.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
House in Gisozi,Gasabo,Gisozi,house,1,3,7450,682,2025,paved,0,2,0,14,120961405.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Apartment in Nyamirambo,Nyarugenge,Nyamirambo,apartment,7,4,7911,360,2008,paved,0,1,1,16,112044619.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Villa in Kimihurura,Gasabo,Kimihurura,villa,3,5,3811,620,2007,dirt,0,4,0,21,339866716.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Apartment in Gahanga,Kicukiro,Gahanga,apartment,6,3,1037,888,2007,dirt,1,1,0,19,50007183.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
Townhouse in Kimihurura,Gasabo,Kimihurura,townhouse,2,1,1551,2322,2003,paved,1,2,1,11,254634167.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
House in Gahanga,Kicukiro,Gahanga,house,5,1,1230,787,2000,paved,1,3,1,15,60975370.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
House in Gacuriro,Gasabo,Gacuriro,house,7,5,1732,1563,2017,paved,0,3,1,10,179843085.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Villa in Gisozi,Gasabo,Gisozi,villa,5,1,862,987,2009,dirt,0,2,1,1,72265041.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Apartment in Gisozi,Gasabo,Gisozi,apartment,2,2,3914,2331,2004,paved,0,0,1,15,76374366.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Apartment in Kibagabaga,Gasabo,Kibagabaga,apartment,5,4,5497,1806,2016,paved,1,2,1,20,189568169.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Townhouse in Nyarugenge Town,Nyarugenge,Nyarugenge Town,townhouse,3,1,4377,583,2005,paved,0,3,0,24,104974256.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Villa in Kibagabaga,Gasabo,Kibagabaga,villa,7,2,1425,2240,1997,dirt,1,1,1,5,112752387.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Townhouse in Kacyiru,Gasabo,Kacyiru,townhouse,5,2,7027,458,2001,paved,0,4,1,30,329633358.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
Townhouse in Nyamirambo,Nyarugenge,Nyamirambo,townhouse,6,5,3447,1444,1999,paved,0,2,0,19,61444131.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
House in Kanombe,Kicukiro,Kanombe,house,1,3,4582,2001,1992,paved,1,0,0,17,73087115.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Apartment in Gahanga,Kicukiro,Gahanga,apartment,5,1,4484,2491,2002,paved,0,0,1,26,73018438.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
Villa in Kibagabaga,Gasabo,Kibagabaga,villa,6,1,4933,856,1992,dirt,0,4,1,6,140894004.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Apartment in Remera,Gasabo,Remera,apartment,4,4,7144,1535,1993,paved,1,3,1,24,211248997.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Apartment in Gahanga,Kicukiro,Gahanga,apartment,7,2,3530,483,1999,paved,0,3,1,23,77557974.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
House in Remera,Gasabo,Remera,house,5,4,6071,1495,1998,paved,0,2,1,10,201174089.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Gacuriro,Gasabo,Gacuriro,villa,3,4,2372,1077,1998,paved,0,0,1,18,164697116.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Villa in Kanombe,Kicukiro,Kanombe,villa,1,3,7979,686,2014,paved,0,4,0,6,177808571.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Apartment in Nyarutarama,Gasabo,Nyarutarama,apartment,4,3,6340,1122,2018,dirt,0,1,1,10,675161894.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Gitega,Nyarugenge,Gitega,townhouse,4,2,3813,2486,2018,dirt,0,4,1,6,89335228.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
